Key,Id,English(en),Japanese (Japan)(ja-JP),Chinese (Traditional)(zh-TW)
demo.door.t.3,11,Shouldn't you consider taking a break? You wouldn't want that door to open too soon.,休 憩 を 考 慮 し た 方 が い い ん じ ゃ な い ？ あ ん な 扉 が 早 す ぎ る タ イ ミ ン グ で 開 い て し ま う の は 避 け た い で す よ ね 。,是 不 是 該 考 慮 休 息 一 下 ， 你 不 會 希 望 那 扇 門 這 麼 早 開 啟 的 。
demo.door.t.4,12,Are these colors corresponding to the solutions on each wall? Or numbers? Or am I mistaken?,こ れ ら の 色 は 各 壁 の 解 答 に 対 応 し て い ま す か ？ そ れ と も 数 字 で す か ？ そ れ と も 私 が 勘 違 い し て い ま す か ？,這 些 顏 色 是 不 是 對 應 每 面 牆 的 謎 底 ？ 還 是 數 字 ？ 還 是 我 搞 錯 了 ？
demo.cylinder.t.1,13,"Let's not rush. Step by step, let's first figure out the relationship with the numbers.",急 が な い で 、 一 歩 ず つ 進 み ま し ょ う 。 ま ず は 数 字 と の 関 連 性 を 見 つ け ま し ょ う 。,別 急 ， 我 們 一 步 一 步 來 ， 先 找 出 和 數 字 的 關 聯 。
demo.cylinder.t.2,14,Let's start from the cabinet. Switch perspectives; maybe we can see different facets.,キ ャ ビ ネ ッ ト か ら 始 め ま し ょ う 。 視 点 を 変 え て 、 異 な る 面 を 見 る こ と が で き る か も し れ ま せ ん 。,從 櫃 子 開 始 吧 ， 切 記 ， 換 個 角 度 ， 也 許 能 查 看 到 不 同 面 向 。
demo.box.t.1,15,"Do you know what's an infinite loop in code? It's like going over the same spot a dozen times, almost like what you're doing.",無 限 ル ー プ っ て プ ロ グ ラ ム で 何 か 知 っ て る ？ 何 度 も 同 じ 場 所 を 何 度 も 見 る 感 じ 、 あ な た が や っ て い る こ と み た い な も の だ よ 。,你 知 道 什 麼 是 無 限 循 環 的 程 式 碼 嗎 ？ 就 像 你 同 個 地 方 看 了 十 幾 遍 差 不 多 意 思 。
demo.cube.t.1,16,The magic cube requires you to cover every face. Oh! Watch the time.,マ ジ ッ ク キ ュ ー ブ は す べ て の 面 を カ バ ー す る 必 要 が あ り ま す 。 あ あ ！ 時 間 に 気 を つ け て く だ さ い 。,魔 術 方 塊 需 要 你 面 面 俱 到 ， 哦 ！ 注 意 時 間 。
demo.cube.t.2,17,Sometimes the missing corners are deliberately left for a certain meaning.,時 々 、 欠 け て い る 角 は 特 定 の 意 味 の た め に 意 図 的 に 残 さ れ て い ま す 。,缺 角 的 地 方 ， 有 時 候 就 是 刻 意 為 了 某 種 意 義 所 留 下 的 。
demo.clock.t.1,18,"Take a moment to think, facing the wall for twenty minutes might help you calm down.",壁 に 向 か っ て ２ ０ 分 間 考 え る と 、 少 し 落 ち 着 く か も し れ ま せ ん 。,面 壁 思 過 二 十 分 鐘 ， 你 可 能 會 冷 靜 一 點 。
demo.paint.t.1,19,"Color, light, angle—what filter are you using to view those cold, hard numbers?",色 、 光 、 角 度 ― ― 冷 た い 数 字 を 見 る た め に ど ん な フ ィ ル タ ー を 使 っ て い ま す か ？,顏 色 、 光 影 、 角 度 ， 你 帶 著 什 麼 濾 鏡 在 看 那 些 冷 冰 冰 的 數 字 。
demo.paint.t.2,20,"S, W, E, N stands for what? News? Sewn? Or simply North, South, East, West—could it be that simple?",S 、 W 、 E 、 N は 何 を 意 味 す る の で し ょ う ？ News （ ニ ュ ー ス ） ？ Sewn （ 縫 っ た ） ？ そ れ と も 単 に 南 、 西 、 東 、 北 ―― そ ん な に 単 純 な こ と で し ょ う か ？,S 、 W 、 E 、 N 是 什 麼 ？ News ？ Sewn ？ 新 聞 跟 縫 製 ？ 還 是 東 南 西 北 ， 這 麼 簡 單 嗎 ？
demo.easter.t.1,21,I feel like I've seen this in some game before.,こ の パ タ ー ン 、 ど こ か の ゲ ー ム で 見 た こ と が あ る よ う な 気 が す る ん だ け ど 。,這 ... ... 怎 麼 好 像 有 在 某 款 遊 戲 看 過 ？
book_room.darkblue.t.1,22,,,語 法 書 ？ 現 在 是 學 習 寫 腳 本 的 好 機 會 吧 ， 至 少 沒 人 打 擾 。
book_room.orange.t.1,23,,,如 果 這 世 界 都 是 用 Flutter 框 架 做 出 來 的 ， 這 本 就 是 聖 經 。
book_room.cyan.t.1,24,,,真 希 望 能 用 它 來 加 速 破 關 速 度 。
book_room.pink.t.1,25,,,這 種 東 西 出 現 在 這 裡 真 是 嘲 諷 。
book_room.pink.t.2,26,,,我 能 Go 　 home 嗎 ？
book_room.bookshief_drawer_nobook.t.1,27,,,別 想 太 多 ， 那 就 是 抽 屜 。
book_room.bookshief_drawer_nobook.t.2,28,,,這 些 小 空 間 裝 的 下 什 麼 ？
book_room.bookshief_drawer_nobook.t.3,29,,,空 的 ！ 我 絕 對 沒 有 在 暗 示 什 麼 。
book_room.bookshief_drawer_hadbook.t.1,30,,,生 平 最 討 厭 的 事 情 ， 就 是 東 西 不 放 好 。
book_room.bookshief_drawer_hadbook.t.2,31,,,亂 七 八 糟 ！ 真 想 照 某 種 規 則 排 放 整 齊 。
book_room.light_switch.t.1,32,,,這 是 什 麼 的 開 關 ？ 燈 還 是 門 ？
book_room.handle_nolight.t.1,33,,,這 時 候 把 門 打 開 ， 是 正 確 的 嗎 ？
book_room.handle_nolight.t.2,34,,,開 了 燈 ， 門 就 上 鎖 了 。
book_room.handle_nolight.t.3,35,,,這 麼 黑 ？ 你 能 看 見 什 麼 ？
book_room.handle_nolight.t.4,36,,,外 面 有 東 西 。
book_room.handle_nolight.t.5,37,,,什 麼 都 看 不 到 ， 我 該 到 有 光 的 地 方 想 想 辦 法 。
book_room.handle_hadlight.t.1,38,,,燭 光 晚 餐 ？ 1 0 歲 生 日 派 對 ？ 
book_room.book_putin.t.1,39,,,別 傻 了 ， 連 書 名 都 看 不 懂 ， 還 想 翻 頁 ？
book_room.book_putin.t.2,40,,,書 櫃 後 怎 麼 會 有 聲 音 ⋯ ⋯
book_room.binarypaper.t.1,41,,,哪 個 人 設 計 的 二 進 制 表 ， 把 人 當 成 智 障 ？
book_room.flashlight.t.1,42,,,光 ， 是 黑 暗 中 唯 一 能 依 賴 的 好 東 西 。
